date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,infections,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Rt,3.52,3.66,3.73,3.73,3.82,3.92,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Reff,3.52,3.66,3.73,3.73,3.82,3.92,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,infections,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Rt,3.52,3.66,3.73,3.73,3.82,3.92,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Reff,3.52,3.66,3.73,3.73,3.82,3.92,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,infections,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Rt,3.52,3.66,3.73,3.73,3.82,3.92,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Reff,3.52,3.66,3.73,3.73,3.82,3.92,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Rt,3.54,3.66,3.73,3.73,3.8,3.89,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Reff,3.54,3.66,3.73,3.73,3.8,3.89,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Rt,3.54,3.66,3.73,3.73,3.8,3.89,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Reff,3.54,3.66,3.73,3.73,3.8,3.89,Surged Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Rt,3.54,3.66,3.73,3.73,3.8,3.89,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-12,Reff,3.54,3.66,3.73,3.73,3.8,3.89,Surged Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0.4,1,1.27,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,infections,0,0,0,0.4,1,1.27,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,prevalence,5,5,5,5.06,5,6,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,Rt,3.52,3.66,3.73,3.73,3.82,3.92,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,Reff,3.52,3.66,3.73,3.73,3.82,3.92,Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0.4,1,1.27,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,infections,0,0,0,0.4,1,1.27,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,prevalence,5,5,5,5.06,5,6,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,Rt,3.52,3.66,3.73,3.73,3.82,3.92,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,Reff,3.52,3.66,3.73,3.73,3.82,3.92,Maintain Status Quo,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0.4,1,1.27,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,infections,0,0,0,0.4,1,1.27,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,prevalence,5,5,5,5.06,5,6,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,Rt,3.52,3.66,3.73,3.73,3.82,3.92,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,Reff,3.52,3.66,3.73,3.73,3.82,3.92,Relax Interventions 50%,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0.31,0.5,2,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Azerbaijan,AZE,2021-03-12,v7,TRUE
