date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-06-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,infections,0,0,0,0,0,0,Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Rt,0.9,1.12,1.16,1.2,1.3,1.35,Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Reff,0.9,1.12,1.16,1.2,1.29,1.35,Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,infections,0,0,0,0,0,0,Maintain Status Quo,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Rt,0.9,1.12,1.16,1.2,1.3,1.35,Maintain Status Quo,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Reff,0.9,1.12,1.16,1.2,1.29,1.35,Maintain Status Quo,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,infections,0,0,0,0,0,0,Relax Interventions 50%,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Rt,0.9,1.12,1.16,1.2,1.3,1.35,Relax Interventions 50%,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Reff,0.9,1.12,1.16,1.2,1.29,1.35,Relax Interventions 50%,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Rt,0.9,1.13,1.19,1.24,1.31,2.03,Surged Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
2020-06-05,Reff,0.9,1.13,1.19,1.24,1.31,2.02,Surged Additional 50% Reduction,Bahamas,BHS,2021-05-10,v8,TRUE
