date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-25,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,Rt,3.09,3.44,3.79,3.76,4.02,4.47,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-25,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,Rt,3.09,3.44,3.79,3.76,4.02,4.47,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-25,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-25,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-25,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-25,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-25,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-25,Rt,3.09,3.44,3.79,3.76,4.02,4.47,Surged Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,infections,0,0,0,0,0,0,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,Rt,3.07,3.49,3.75,3.75,4.01,4.42,Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,infections,0,0,0,0,0,0,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,Rt,3.07,3.49,3.75,3.75,4.01,4.42,Maintain Status Quo,Brazil,BRA,2020-07-03,v3
2020-01-26,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,deaths,0,0,0,0,0,0,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,infections,0,0,0,0,0,0,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,Rt,3.07,3.49,3.75,3.75,4.01,4.42,Relax Interventions 50%,Brazil,BRA,2020-07-03,v3
2020-01-26,cumulative_infections,0.02,0.25,0.5,0.5,0.75,0.98,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,infections,0.02,0.25,0.5,0.5,0.75,0.98,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,Rt,3.09,3.44,3.79,3.76,4.02,4.47,Surged Additional 50% Reduction,Brazil,BRA,2020-07-03,v3
2020-01-26,cumulative_infections,0.02,0.25,0.5,0.5,0.75,0.98,Surged Maintain Status Quo,Brazil,BRA,2020-07-03,v3
