date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-11-26,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,infections,0,0,0,0,0,0,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,Rt,0.53,2.29,2.47,2.28,2.58,2.84,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,Reff,0.53,2.29,2.47,2.27,2.57,2.84,Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,infections,0,0,0,0,0,0,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,prevalence,5,5,5,5,5,5,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,Rt,0.53,2.29,2.47,2.28,2.58,2.84,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,Reff,0.53,2.29,2.47,2.27,2.57,2.84,Maintain Status Quo,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,deaths,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,infections,0,0,0,0,0,0,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,Rt,0.53,2.29,2.47,2.28,2.58,2.84,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,Reff,0.53,2.29,2.47,2.27,2.57,2.84,Relax Interventions 50%,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
2020-11-26,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Barbados,BRB,2021-04-17,v7,TRUE
