date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-03-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,infections,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Rt,2.47,2.55,2.66,2.69,2.82,2.94,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Reff,2.47,2.55,2.66,2.69,2.82,2.94,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,infections,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Rt,2.47,2.55,2.66,2.69,2.82,2.94,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Reff,2.47,2.55,2.66,2.69,2.82,2.94,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,infections,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Rt,2.47,2.55,2.66,2.69,2.82,2.94,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Reff,2.47,2.55,2.66,2.69,2.82,2.94,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Rt,2.52,2.56,2.64,2.68,2.82,2.93,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Reff,2.52,2.56,2.64,2.68,2.82,2.93,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Rt,2.52,2.56,2.64,2.68,2.82,2.93,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Reff,2.52,2.56,2.64,2.68,2.82,2.93,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Rt,2.52,2.56,2.64,2.68,2.82,2.93,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-05,Reff,2.52,2.56,2.64,2.68,2.82,2.93,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,infections,0.03,0.31,0.62,0.41,0.62,0.62,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,prevalence,5,5.04,5.08,5.06,5.09,5.09,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_infections,0.03,0.31,0.62,0.41,0.62,0.62,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Rt,2.47,2.55,2.66,2.69,2.82,2.98,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Reff,2.47,2.55,2.66,2.69,2.82,2.98,Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,infections,0.03,0.31,0.62,0.41,0.62,0.62,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,prevalence,5,5.04,5.08,5.06,5.09,5.09,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_infections,0.03,0.31,0.62,0.41,0.62,0.62,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Rt,2.47,2.55,2.66,2.69,2.82,2.98,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Reff,2.47,2.55,2.66,2.69,2.82,2.98,Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,infections,0.03,0.31,0.62,0.41,0.62,0.62,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,prevalence,5,5.04,5.08,5.06,5.09,5.09,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_infections,0.03,0.31,0.62,0.41,0.62,0.62,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Rt,2.47,2.55,2.66,2.69,2.82,2.98,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Reff,2.47,2.55,2.66,2.69,2.82,2.98,Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,infections,0.62,0.62,0.62,0.62,0.62,0.62,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,prevalence,5.09,5.09,5.09,5.09,5.09,5.09,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Rt,2.52,2.56,2.64,2.68,2.82,2.99,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Reff,2.52,2.56,2.64,2.68,2.82,2.99,Surged Additional 50% Reduction,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,infections,0.62,0.62,0.62,0.62,0.62,0.62,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,prevalence,5.09,5.09,5.09,5.09,5.09,5.09,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Rt,2.52,2.56,2.64,2.68,2.82,2.99,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,Reff,2.52,2.56,2.64,2.68,2.82,2.99,Surged Maintain Status Quo,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,infections,0.62,0.62,0.62,0.62,0.62,0.62,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
2020-03-06,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Botswana,BWA,2021-05-27,v8,TRUE
