date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-31,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,infections,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,Rt,2.84,3.18,3.4,3.41,3.68,3.94,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,infections,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,Rt,2.84,3.18,3.4,3.41,3.68,3.94,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-01-31,infections,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-01-31,Rt,2.84,3.18,3.4,3.41,3.68,3.94,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,infections,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,Rt,2.84,3.18,3.4,3.41,3.68,3.94,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,infections,0,0,0,0,0,0,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,Rt,2.84,3.18,3.4,3.41,3.68,3.94,Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,infections,0,0,0,0,0,0,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,Rt,2.84,3.18,3.4,3.41,3.68,3.94,Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,Rt,2.92,3.28,3.5,3.48,3.66,3.97,Surged Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,Rt,2.92,3.28,3.5,3.48,3.66,3.97,Surged Maintain Status Quo,Colombia,COL,2020-07-07,v3
2020-02-01,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-01,Rt,2.92,3.28,3.5,3.48,3.66,3.97,Surged Relax Interventions 50%,Colombia,COL,2020-07-07,v3
2020-02-02,cumulative_infections,2,2,2,2,2,2,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,deaths,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,infections,2,2,2,2,2,2,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,Rt,2.84,3.18,3.4,3.41,3.68,3.94,Additional 50% Reduction,Colombia,COL,2020-07-07,v3
2020-02-02,cumulative_infections,2,2,2,2,2,2,Maintain Status Quo,Colombia,COL,2020-07-07,v3
