date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,infections,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,infections,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,prevalence,5,5,5,5,5,5,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,infections,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-25,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,cumulative_infections,0,0,0,0.32,0.75,1.47,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,infections,0,0,0,0.32,0.75,1.47,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,prevalence,5,5,5,5.02,5,5,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,Rt,4.31,4.4,4.45,4.45,4.53,4.58,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,Reff,4.31,4.4,4.45,4.45,4.53,4.58,Additional 50% Reduction,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,cumulative_infections,0,0,0,0.32,0.75,1.47,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,infections,0,0,0,0.32,0.75,1.47,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,prevalence,5,5,5,5.02,5,5,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,Rt,4.31,4.4,4.45,4.45,4.53,4.58,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,Reff,4.31,4.4,4.45,4.45,4.53,4.58,Maintain Status Quo,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,cumulative_infections,0,0,0,0.32,0.75,1.47,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,deaths,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
2020-01-26,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Spain,ESP,2021-02-26,v7,TRUE
