date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-06,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,infections,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Rt,2.98,3.01,3.02,3.02,3.04,3.06,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Reff,2.98,3.01,3.02,3.02,3.04,3.06,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,infections,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,prevalence,5,5,5,5,5,5,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Rt,2.98,3.01,3.02,3.02,3.04,3.06,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Reff,2.98,3.01,3.02,3.02,3.04,3.06,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,infections,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Rt,2.98,3.01,3.02,3.02,3.04,3.06,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Reff,2.98,3.01,3.02,3.02,3.04,3.06,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Rt,2.98,3,3.02,3.02,3.04,3.05,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Reff,2.98,3,3.02,3.02,3.04,3.05,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Rt,2.98,3,3.02,3.02,3.04,3.05,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Reff,2.98,3,3.02,3.02,3.04,3.05,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Rt,2.98,3,3.02,3.02,3.04,3.05,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-06,Reff,2.98,3,3.02,3.02,3.04,3.05,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,infections,0,0,0,0.13,0,0.62,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,prevalence,5,5,5,5.03,5,5.12,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_infections,0,0,0,0.13,0,0.62,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Rt,2.98,3.01,3.02,3.02,3.04,3.06,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Reff,2.98,3.01,3.02,3.02,3.04,3.06,Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,infections,0,0,0,0.13,0,0.62,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,prevalence,5,5,5,5.03,5,5.12,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_infections,0,0,0,0.13,0,0.62,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Rt,2.98,3.01,3.02,3.02,3.04,3.06,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Reff,2.98,3.01,3.02,3.02,3.04,3.06,Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,infections,0,0,0,0.13,0,0.62,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,prevalence,5,5,5,5.03,5,5.12,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_infections,0,0,0,0.13,0,0.62,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Rt,2.98,3.01,3.02,3.02,3.04,3.06,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Reff,2.98,3.01,3.02,3.02,3.04,3.06,Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,infections,0,0,0,0.14,0,0.62,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,prevalence,5,5,5,5.03,5,5.12,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_infections,0,0,0,0.14,0,0.62,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Rt,2.98,3,3.02,3.02,3.04,3.05,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Reff,2.98,3,3.02,3.02,3.04,3.05,Surged Additional 50% Reduction,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,infections,0,0,0,0.14,0,0.62,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,prevalence,5,5,5,5.03,5,5.12,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_infections,0,0,0,0.14,0,0.62,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Rt,2.98,3,3.02,3.02,3.04,3.05,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,Reff,2.98,3,3.02,3.02,3.04,3.05,Surged Maintain Status Quo,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,infections,0,0,0,0.14,0,0.62,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,prevalence,5,5,5,5.03,5,5.12,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_infections,0,0,0,0.14,0,0.62,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
2020-02-07,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Finland,FIN,2021-05-10,v8,TRUE
