date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2021-06-18,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,infections,0,0,0,0,0,0,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Rt,1.21,1.21,1.21,1.21,1.21,1.21,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Reff,1.21,1.21,1.21,1.21,1.21,1.21,Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,infections,0,0,0,0,0,0,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,prevalence,5,5,5,5,5,5,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Rt,1.97,1.97,1.97,1.97,1.97,1.97,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Reff,1.97,1.97,1.97,1.97,1.97,1.97,Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,infections,0,0,0,0,0,0,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Rt,2.73,2.73,2.73,2.73,2.73,2.73,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Reff,2.73,2.73,2.73,2.73,2.73,2.73,Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Rt,2.73,2.73,2.73,2.73,2.73,2.73,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Reff,2.73,2.73,2.73,2.73,2.73,2.73,Surged Additional 50% Reduction,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Rt,2.73,2.73,2.73,2.73,2.73,2.73,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,Reff,2.73,2.73,2.73,2.73,2.73,2.73,Surged Maintain Status Quo,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
2021-06-18,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Micronesia,FSM,2021-06-18,v8,FALSE
