date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-19,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,infections,0,0,0,0,0,0,Additional 50% Reduction,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,Rt,3.2,3.37,3.46,3.48,3.51,3.85,Additional 50% Reduction,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,Reff,3.2,3.37,3.46,3.48,3.51,3.85,Additional 50% Reduction,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,infections,0,0,0,0,0,0,Maintain Status Quo,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,prevalence,5,5,5,5,5,5,Maintain Status Quo,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,Rt,3.2,3.37,3.46,3.48,3.51,3.85,Maintain Status Quo,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,Reff,3.2,3.37,3.46,3.48,3.51,3.85,Maintain Status Quo,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,infections,0,0,0,0,0,0,Relax Interventions 50%,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,Rt,3.2,3.37,3.46,3.48,3.51,3.85,Relax Interventions 50%,Georgia,GEO,2021-05-10,v8,TRUE
2020-02-19,Reff,3.2,3.37,3.46,3.48,3.51,3.85,Relax Interventions 50%,Georgia,GEO,2021-05-10,v8,TRUE
