date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,Rt,2.6,2.82,2.91,2.9,2.99,3.13,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,Reff,2.6,2.82,2.91,2.9,2.99,3.13,Surged Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,Rt,2.6,2.82,2.91,2.9,2.99,3.13,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,Reff,2.6,2.82,2.91,2.9,2.99,3.13,Surged Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,Rt,2.6,2.82,2.91,2.9,2.99,3.13,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-13,Reff,2.6,2.82,2.91,2.9,2.99,3.13,Surged Relax Interventions 50%,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,infections,0,0,0,0,0,0,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,Rt,2.62,2.81,2.91,2.9,2.99,3.13,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,Reff,2.62,2.81,2.91,2.9,2.99,3.13,Additional 50% Reduction,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
2020-02-14,deaths,0,0,0,0,0,0,Maintain Status Quo,Guatemala,GTM,2021-02-10,v7,TRUE
