date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-30,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,infections,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,deaths,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,infections,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-30,deaths,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-30,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-30,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-30,infections,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-30,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,deaths,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,infections,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,deaths,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,infections,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Maintain Status Quo,India,IND,2020-07-03,v3
2020-01-31,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,deaths,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,infections,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-01-31,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,cumulative_infections,2,2,2,2,2,2,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,deaths,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,infections,2,2,2,2,2,2,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-01,cumulative_infections,2,2,2,2,2,2,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,deaths,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,infections,2,2,2,2,2,2,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-01,cumulative_infections,2,2,2,2,2,2,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,deaths,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,infections,2,2,2,2,2,2,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-01,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,cumulative_infections,3,3,3,3,3,3,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,deaths,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,infections,1,1,1,1,1,1,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,cumulative_infections,3,3,3,3,3,3,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,deaths,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,infections,1,1,1,1,1,1,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,cumulative_infections,3,3,3,3,3,3,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,deaths,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,infections,1,1,1,1,1,1,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,Rt,2.93,3.26,3.43,3.42,3.56,4.14,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-02,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,infections,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,Rt,2.93,3.26,3.43,3.42,3.56,4.14,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-02,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-02,Rt,2.93,3.26,3.43,3.42,3.56,4.14,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,cumulative_infections,3,3,3,3,3,3,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,cumulative_infections,3,3,3,3,3,3,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,cumulative_infections,3,3,3,3,3,3,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,Rt,2.93,3.26,3.43,3.42,3.56,4.14,Surged Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,Rt,2.93,3.26,3.43,3.42,3.56,4.14,Surged Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-03,Rt,2.93,3.26,3.43,3.42,3.56,4.14,Surged Relax Interventions 50%,India,IND,2020-07-03,v3
2020-02-04,cumulative_infections,4,4,4,4,4,4,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,infections,1,1,1,1,1,1,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,Rt,2.95,3.29,3.43,3.43,3.59,3.92,Additional 50% Reduction,India,IND,2020-07-03,v3
2020-02-04,cumulative_infections,4,4,4,4,4,4,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,India,IND,2020-07-03,v3
