date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-12,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Rt,4.35,4.41,4.42,4.42,4.44,4.48,Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Reff,4.35,4.41,4.42,4.42,4.44,4.48,Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Rt,4.35,4.41,4.42,4.42,4.44,4.48,Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Reff,4.35,4.41,4.42,4.42,4.44,4.48,Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Relax Interventions 50%,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Rt,4.35,4.41,4.42,4.42,4.44,4.48,Relax Interventions 50%,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Reff,4.35,4.41,4.42,4.42,4.44,4.48,Relax Interventions 50%,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Rt,4.34,4.41,4.42,4.42,4.44,4.49,Surged Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,Reff,4.34,4.41,4.42,4.42,4.44,4.49,Surged Additional 50% Reduction,Israel,ISR,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Israel,ISR,2021-05-10,v8,TRUE
