date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,Rt,2.22,2.33,2.38,2.39,2.44,2.52,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,Reff,2.22,2.33,2.38,2.39,2.44,2.52,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,Rt,2.22,2.33,2.38,2.39,2.44,2.52,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,Reff,2.22,2.33,2.38,2.39,2.44,2.52,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,deaths,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,infections,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,Rt,2.22,2.33,2.38,2.39,2.44,2.52,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-04,Reff,2.22,2.33,2.38,2.39,2.44,2.52,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0.02,0.25,0.5,0.5,0.75,0.98,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,infections,0.02,0.25,0.5,0.5,0.75,0.98,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,Rt,2.22,2.33,2.38,2.39,2.44,2.52,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,Reff,2.22,2.33,2.38,2.39,2.44,2.52,Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0.02,0.25,0.5,0.5,0.75,0.98,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,infections,0.02,0.25,0.5,0.5,0.75,0.98,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,Rt,2.22,2.33,2.38,2.39,2.44,2.52,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,Reff,2.22,2.33,2.38,2.39,2.44,2.52,Maintain Status Quo,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0.02,0.25,0.5,0.5,0.75,0.98,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,infections,0.02,0.25,0.5,0.5,0.75,0.98,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,Rt,2.22,2.33,2.38,2.39,2.44,2.52,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,Reff,2.22,2.33,2.38,2.39,2.44,2.52,Relax Interventions 50%,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
2020-02-05,Rt,2.26,2.33,2.38,2.38,2.44,2.49,Surged Additional 50% Reduction,Jamaica,JAM,2021-03-29,v7,TRUE
