date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-03,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-03,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-03,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,cumulative_infections,0.05,0.5,1,0.67,1,1,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,infections,0.05,0.5,1,0.67,1,1,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,cumulative_infections,0.05,0.5,1,0.67,1,1,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,infections,0.05,0.5,1,0.67,1,1,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,cumulative_infections,0.05,0.5,1,0.67,1,1,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,infections,0.05,0.5,1,0.67,1,1,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,cumulative_infections,1,1,1,1,1,1,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,infections,1,1,1,1,1,1,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-04,cumulative_infections,1,1,1,1,1,1,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,infections,1,1,1,1,1,1,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-04,cumulative_infections,1,1,1,1,1,1,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,infections,1,1,1,1,1,1,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-04,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,cumulative_infections,0.07,0.75,1,1,1.25,1.92,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,deaths,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,infections,0,0,0,0.5,0.5,1.85,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,cumulative_infections,0.07,0.75,1,1,1.25,1.92,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,deaths,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,infections,0,0,0,0.5,0.5,1.85,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,cumulative_infections,0.07,0.75,1,1,1.25,1.92,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,deaths,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,infections,0,0,0,0.5,0.5,1.85,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,Rt,2.21,2.6,2.9,2.96,3.27,3.98,Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
2020-02-05,cumulative_infections,0.05,0.5,1,1,1.5,1.95,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,infections,0.05,0.5,1,0.67,1,1,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Additional 50% Reduction,Jordan,JOR,2020-07-03,v3
2020-02-05,cumulative_infections,0.05,0.5,1,1,1.5,1.95,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,infections,0.05,0.5,1,0.67,1,1,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,Rt,2.21,2.58,2.97,2.98,3.27,3.95,Surged Maintain Status Quo,Jordan,JOR,2020-07-03,v3
2020-02-05,cumulative_infections,0.05,0.5,1,1,1.5,1.95,Surged Relax Interventions 50%,Jordan,JOR,2020-07-03,v3
