date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2021-01-20,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,infections,0,0,0,0,0,0,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Rt,1.98,2.3,2.42,2.49,2.67,3.14,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Reff,1.98,2.3,2.42,2.49,2.67,3.14,Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,infections,0,0,0,0,0,0,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,prevalence,5,5,5,5,5,5,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Rt,1.98,2.3,2.42,2.49,2.67,3.14,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Reff,1.98,2.3,2.42,2.49,2.67,3.14,Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,infections,0,0,0,0,0,0,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Rt,1.98,2.3,2.42,2.49,2.67,3.14,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Reff,1.98,2.3,2.42,2.49,2.67,3.14,Relax Interventions 50%,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Rt,1.99,2.29,2.4,2.44,2.61,2.91,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,Reff,1.99,2.29,2.4,2.44,2.61,2.91,Surged Additional 50% Reduction,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
2021-01-20,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Cambodia,KHM,2021-07-02,v8,TRUE
