date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,infections,0,0,0,0,0,0,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,Rt,2.23,2.29,2.35,2.34,2.39,2.43,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,Reff,2.23,2.29,2.35,2.34,2.39,2.43,Additional 50% Reduction,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,deaths,0,0,0,0,0,0,Maintain Status Quo,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Lebanon,LBN,2021-02-17,v7,TRUE
2020-01-25,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Lebanon,LBN,2021-02-17,v7,TRUE
