date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-20,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,Rt,2.61,2.64,2.66,2.66,2.68,2.71,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,Reff,2.61,2.64,2.66,2.66,2.68,2.71,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,Rt,2.61,2.64,2.66,2.66,2.68,2.71,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,Reff,2.61,2.64,2.66,2.66,2.68,2.71,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,infections,0,0,0,0,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,Rt,2.61,2.64,2.66,2.66,2.68,2.71,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-20,Reff,2.61,2.64,2.66,2.66,2.68,2.71,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,infections,0,0,0,0.01,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,cumulative_infections,0,0,0,0.01,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,Rt,2.61,2.64,2.66,2.66,2.68,2.71,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,Reff,2.61,2.64,2.66,2.66,2.68,2.71,Additional 50% Reduction,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,infections,0,0,0,0.01,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,prevalence,5,5,5,5,5,5,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,cumulative_infections,0,0,0,0.01,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,Rt,2.61,2.64,2.66,2.66,2.68,2.71,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,Reff,2.61,2.64,2.66,2.66,2.68,2.71,Maintain Status Quo,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,deaths,0,0,0,0,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
2020-02-21,infections,0,0,0,0.01,0,0,Relax Interventions 50%,Liberia,LBR,2021-05-10,v8,TRUE
