date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-19,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,deaths,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,infections,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,Rt,2.32,3,3.26,3.24,3.48,4.07,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-19,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,deaths,0,0,0,0,0,0,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,infections,0,0,0,0,0,0,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,Rt,2.32,3,3.26,3.24,3.48,4.07,Maintain Status Quo,Libya,LBY,2020-07-03,v3
2020-02-19,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-19,deaths,0,0,0,0,0,0,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-19,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-19,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-19,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-19,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-19,infections,0,0,0,0,0,0,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-19,Rt,2.32,3,3.26,3.24,3.48,4.07,Relax Interventions 50%,Libya,LBY,2020-07-03,v3
2020-02-20,cumulative_infections,2,2,2,2,2,2,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-20,deaths,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-20,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-20,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-20,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
2020-02-20,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Libya,LBY,2020-07-03,v3
