date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-05-24,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,infections,0,0,0,0,0,0,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,Rt,1.8,1.99,2.11,2.07,2.15,2.23,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,Reff,1.8,1.99,2.11,2.07,2.15,2.23,Additional 50% Reduction,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,infections,0,0,0,0,0,0,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,prevalence,5,5,5,5,5,5,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,Rt,1.8,1.99,2.11,2.07,2.15,2.23,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,Reff,1.8,1.99,2.11,2.07,2.15,2.23,Maintain Status Quo,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,infections,0,0,0,0,0,0,Relax Interventions 50%,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Lesotho,LSO,2021-06-18,v8,TRUE
2020-05-24,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Lesotho,LSO,2021-06-18,v8,TRUE
