date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,deaths,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,infections,0,0,0,0,0,0,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,Rt,3.01,3.06,3.09,3.09,3.12,3.19,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,Reff,3.01,3.06,3.09,3.09,3.12,3.19,Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,deaths,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,infections,0,0,0,0,0,0,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,prevalence,5,5,5,5,5,5,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,Rt,3.01,3.06,3.09,3.09,3.12,3.19,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,Reff,3.01,3.06,3.09,3.09,3.12,3.19,Maintain Status Quo,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,deaths,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,infections,0,0,0,0,0,0,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,Rt,3.01,3.06,3.09,3.09,3.12,3.19,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,Reff,3.01,3.06,3.09,3.09,3.12,3.19,Relax Interventions 50%,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
2020-02-08,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Moldova,MDA,2021-01-30,v7,TRUE
