date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-11-13,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,deaths,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,infections,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,deaths,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,infections,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,prevalence,5,5,5,5,5,5,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,deaths,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,infections,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-13,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_infections,1,1,1,1,1,1,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,deaths,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,infections,1,1,1,1,1,1,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,prevalence,5,5,5,5.03,5,5.3,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,Rt,1.53,1.67,1.77,1.77,1.85,1.99,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,Reff,1.53,1.67,1.77,1.77,1.85,1.99,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_infections,1,1,1,1,1,1,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,deaths,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,infections,1,1,1,1,1,1,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,prevalence,5,5,5,5.03,5,5.3,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,Rt,1.53,1.67,1.77,1.77,1.85,1.99,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,Reff,1.53,1.67,1.77,1.77,1.85,1.99,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_infections,1,1,1,1,1,1,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,deaths,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,infections,1,1,1,1,1,1,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,prevalence,5,5,5,5.03,5,5.3,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,Rt,1.53,1.67,1.77,1.77,1.85,1.99,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,Reff,1.53,1.67,1.77,1.77,1.85,1.99,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-14,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_infections,0,0,0,0.45,1,2,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,deaths,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,infections,0,0,0,0.41,1,1.3,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,prevalence,5,5,5,5.08,5,6,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,Rt,1.53,1.67,1.77,1.77,1.85,1.99,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,Reff,1.53,1.67,1.77,1.77,1.85,1.99,Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_infections,0,0,0,0.45,1,2,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,deaths,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,infections,0,0,0,0.41,1,1.3,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,prevalence,5,5,5,5.08,5,6,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,Rt,1.53,1.67,1.77,1.77,1.85,1.99,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,Reff,1.53,1.67,1.77,1.77,1.85,1.99,Maintain Status Quo,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_infections,0,0,0,0.45,1,2,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,deaths,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,infections,0,0,0,0.41,1,1.3,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,prevalence,5,5,5,5.08,5,6,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,Rt,1.53,1.67,1.77,1.77,1.85,1.99,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,Reff,1.53,1.67,1.77,1.77,1.85,1.99,Relax Interventions 50%,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,cumulative_infections,0,0,0,0.28,1,1,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
2020-11-15,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Mongolia,MNG,2021-01-12,v6,TRUE
