date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-23,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,deaths,0,0,0,0,0,0,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,infections,0,0,0,0,0,0,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,Rt,2.19,2.32,2.46,2.48,2.58,2.92,Additional 50% Reduction,Malaysia,MYS,2020-07-04,v3
2020-01-23,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,deaths,0,0,0,0,0,0,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,infections,0,0,0,0,0,0,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,Rt,2.19,2.32,2.46,2.48,2.58,2.92,Maintain Status Quo,Malaysia,MYS,2020-07-04,v3
2020-01-23,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Malaysia,MYS,2020-07-04,v3
2020-01-23,deaths,0,0,0,0,0,0,Relax Interventions 50%,Malaysia,MYS,2020-07-04,v3
2020-01-23,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Malaysia,MYS,2020-07-04,v3
