date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-29,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,deaths,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,infections,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,Rt,3,3.51,3.72,3.71,3.87,4.42,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-29,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,deaths,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,infections,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,Rt,3,3.51,3.72,3.71,3.87,4.42,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-29,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-29,deaths,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-29,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-29,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-29,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-29,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-29,infections,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-29,Rt,3,3.51,3.72,3.71,3.87,4.42,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,deaths,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,infections,0,0,0,0,0,0,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,Rt,3,3.51,3.72,3.71,3.87,4.42,Additional 50% Reduction,Romania,ROU,2020-07-03,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,deaths,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,infections,0,0,0,0,0,0,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,Rt,3,3.51,3.72,3.71,3.87,4.42,Maintain Status Quo,Romania,ROU,2020-07-03,v3
2020-01-30,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-30,deaths,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-30,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
2020-01-30,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Romania,ROU,2020-07-03,v3
