date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-24,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,deaths,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,infections,0,0,0,0,0,0,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,Rt,2.13,2.72,3,3.03,3.31,3.95,Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,deaths,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,infections,0,0,0,0,0,0,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,Rt,2.13,2.72,3,3.03,3.31,3.95,Maintain Status Quo,Eswatini,SWZ,2020-07-03,v3
2020-02-24,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,deaths,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,infections,0,0,0,0,0,0,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,Rt,2.13,2.72,3,3.03,3.31,3.95,Relax Interventions 50%,Eswatini,SWZ,2020-07-03,v3
2020-02-24,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
2020-02-24,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Eswatini,SWZ,2020-07-03,v3
