date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-11-10,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,infections,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,Rt,1.78,1.93,2.08,2.08,2.18,2.45,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,Reff,1.78,1.93,2.08,2.08,2.18,2.45,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,infections,0,0,0,0,0,0,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,prevalence,5,5,5,5,5,5,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,Rt,1.78,1.93,2.08,2.08,2.18,2.45,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,Reff,1.78,1.93,2.08,2.08,2.18,2.45,Maintain Status Quo,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,infections,0,0,0,0,0,0,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,Rt,1.78,1.93,2.08,2.08,2.18,2.45,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-10,Reff,1.78,1.93,2.08,2.08,2.18,2.45,Relax Interventions 50%,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,deaths,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,prevalence,5.03,5.03,5.03,5.03,5.03,5.03,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,cumulative_infections,0.62,0.62,0.62,0.62,0.62,0.62,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
2020-11-11,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Seychelles,SYC,2021-06-26,v8,TRUE
