date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-10,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,infections,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Rt,2.25,2.31,2.33,2.33,2.36,2.41,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Reff,2.25,2.31,2.33,2.33,2.36,2.41,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,infections,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Rt,2.25,2.31,2.33,2.33,2.36,2.41,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Reff,2.25,2.31,2.33,2.33,2.36,2.41,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,infections,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Rt,2.25,2.31,2.33,2.33,2.36,2.41,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Reff,2.25,2.31,2.33,2.33,2.36,2.41,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Rt,2.27,2.31,2.34,2.33,2.35,2.38,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Reff,2.27,2.31,2.34,2.33,2.35,2.38,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Rt,2.27,2.31,2.34,2.33,2.35,2.38,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Reff,2.27,2.31,2.34,2.33,2.35,2.38,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,prevalence,5,5,5,5,5,5,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Rt,2.27,2.31,2.34,2.33,2.35,2.38,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-10,Reff,2.27,2.31,2.34,2.33,2.35,2.38,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,infections,0.29,0.62,0.62,0.6,0.62,0.62,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,prevalence,5.03,5.07,5.07,5.07,5.07,5.07,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_infections,0.29,0.62,0.62,0.6,0.62,0.62,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Rt,2.25,2.31,2.33,2.33,2.36,2.41,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Reff,2.25,2.31,2.33,2.33,2.36,2.41,Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,infections,0.29,0.62,0.62,0.6,0.62,0.62,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,prevalence,5.03,5.07,5.07,5.07,5.07,5.07,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_infections,0.29,0.62,0.62,0.6,0.62,0.62,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Rt,2.25,2.31,2.33,2.33,2.36,2.41,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Reff,2.25,2.31,2.33,2.33,2.36,2.41,Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,infections,0.29,0.62,0.62,0.6,0.62,0.62,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,prevalence,5.03,5.07,5.07,5.07,5.07,5.07,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_infections,0.29,0.62,0.62,0.6,0.62,0.62,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Rt,2.25,2.31,2.33,2.33,2.36,2.41,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Reff,2.25,2.31,2.33,2.33,2.36,2.41,Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,infections,0.62,0.62,0.62,0.61,0.62,0.62,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,prevalence,5.06,5.07,5.07,5.07,5.07,5.07,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_infections,0.62,0.62,0.62,0.61,0.62,0.62,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Rt,2.27,2.31,2.34,2.33,2.35,2.38,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Reff,2.27,2.31,2.34,2.33,2.35,2.38,Surged Additional 50% Reduction,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,infections,0.62,0.62,0.62,0.61,0.62,0.62,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,prevalence,5.06,5.07,5.07,5.07,5.07,5.07,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_infections,0.62,0.62,0.62,0.61,0.62,0.62,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Rt,2.27,2.31,2.34,2.33,2.35,2.38,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,Reff,2.27,2.31,2.34,2.33,2.35,2.38,Surged Maintain Status Quo,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,infections,0.62,0.62,0.62,0.61,0.62,0.62,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,prevalence,5.06,5.07,5.07,5.07,5.07,5.07,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_infections,0.62,0.62,0.62,0.61,0.62,0.62,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
2020-02-11,cumulative_deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Togo,TGO,2021-05-10,v8,TRUE
