date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-09,cumulative_deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,deaths,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,infections,0,0,0,0,0,0,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,Rt,4.51,4.58,4.63,4.68,4.77,4.95,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,Reff,4.51,4.58,4.63,4.68,4.77,4.95,Additional 50% Reduction,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,cumulative_deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,deaths,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2021-01-12,v6,TRUE
2020-02-09,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Turkey,TUR,2021-01-12,v6,TRUE
